DIRECCIÓN,ESQUINA,COLONIA,ALCALDIA,TIPO DE POSTE,BOTON,ALTAVOZ,LONGITUD ,LATITUD ,ESTATUS CONECTIVIDAD
EJE 1 PONIENTE AV. CUAUHTEMOC,C. DR. VELAZCO (AV. ÁLVARO OBREGÓN),DOCTORES,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,154053","19,419301",WIFI GRATUITO_ACTIVO
C. DR. CARMONA Y VALLE,C. DR. LAVISTA,DOCTORES,CUAUHTEMOC,9m,SIN BOTON,CON ALTAVOZ,"-99,152943","19,424219",WIFI GRATUITO_ACTIVO
EJE 2 SUR AV. YUCATAN,C. QUERETARO,ROMA NORTE ,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,16303","19,414188",WIFI GRATUITO_ACTIVO
AV. ÁLVARO OBREGÓN,C. JALAPA,ROMA NORTE,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,161138","19,417795",WIFI GRATUITO_ACTIVO
EJE 2 PTE. MONTERREY,C. COAHUILA,ROMA SUR,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,162589","19,411206",WIFI GRATUITO_ACTIVO
AV. NUEVO LEÓN,AV. JUAN ESCUTIA,CONDESA,CUAUHTEMOC,9m,SIN BOTON,CON ALTAVOZ,"-99,171826","19,413441",WIFI GRATUITO_ACTIVO
AV. SONORA,C. SINALOA,ROMA NORTE ,CUAUHTEMOC,9m,SIN BOTON,CON ALTAVOZ,"-99,172761","19,419402",WIFI GRATUITO_ACTIVO
C. ORIZABA,EJE 2 SUR QUERETARO,ROMA NORTE,CUAUHTEMOC,9m,SIN BOTON,CON ALTAVOZ,"-99,158977","19,415142",WIFI GRATUITO_ACTIVO
C. FRONTERA,C. SAN LUIS POTOSI,ROMA NORTE,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,154773","19,414954",WIFI GRATUITO_ACTIVO
AV. ALVARO OBREGON,C. CORDOBA,ROMA NORTE,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,158443","19,418313",WIFI GRATUITO_ACTIVO
C. MERIDA ,C. COLIMA,ROMA NORTE,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,157693","19,420437",WIFI GRATUITO_ACTIVO
C. FRONTERA ,C. DURANGO,ROMA NORTE ,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,156494","19,421902",WIFI GRATUITO_ACTIVO
EJE 1 PONIENTE AV. CUAUHTEMOC,C. DURANGO,ROMA NORTE,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,154094","19,422591",WIFI GRATUITO_ACTIVO
C. DR. LAVISTA,AV. CUAUHTEMOC,DOCTORES,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,153686","19,424128",WIFI GRATUITO_ACTIVO
C. REAL DE ROMITA,CJON. DE DURANGO,ROMA NORTE,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,155409","19,423015",WIFI GRATUITO_ACTIVO
C. MORELIA,C. CIRCULAR DE MORELIA,ROMA NORTE,CUAUHTEMOC,9m,SIN BOTON,CON ALTAVOZ,"-99,156344","19,424632",WIFI GRATUITO_ACTIVO
C. OROZCO Y BERRA,C. BUENAVISTA,BUENAVISTA,CUAUHTEMOC,9m,SIN BOTON,CON ALTAVOZ,"-99,152891","19,440025",WIFI GRATUITO_ACTIVO
C. COLIMA ,C. MORELIA,ROMA NORTE,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,155245","19,421008",WIFI GRATUITO_ACTIVO
C. ORIZABA,C. CHIAPAS,ROMA NORTE ,CUAUHTEMOC,9m,SIN BOTON,CON ALTAVOZ,"-99,158463","19,413075",WIFI GRATUITO_ACTIVO
C. TAMPICO,AV. CHAPULTEPEC,ROMA NORTE,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,175439","19,420583",WIFI GRATUITO_ACTIVO
C. DURANGO,C. VALLALODID,ROMA NORTE,CUAUHTEMOC,9m,SIN BOTON,CON ALTAVOZ,"-99,168067","19,419544",WIFI GRATUITO_ACTIVO
C. VALLADOLID,C. PUEBLA,ROMA NORTE,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,168638","19,421358",WIFI GRATUITO_ACTIVO
C. COZUMEL,C. PUEBLA,ROMA NORTE,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,171314","19,42075",WIFI GRATUITO_ACTIVO
AV. SONORA,C. PUEBLA,ROMA NORTE ,CUAUHTEMOC,9m,SIN BOTON,CON ALTAVOZ,"-99,173438","19,420305",WIFI GRATUITO_ACTIVO
C. COLIMA ,AV. VERACRUZ,ROMA NORTE,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,173177","19,416808",WIFI GRATUITO_ACTIVO
C. JALAPA,C. PUEBLA,ROMA NORTE,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,162276","19,422439",WIFI GRATUITO_ACTIVO
C. MERIDA,C. PUEBLA,ROMA NORTE,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,158372","19,423166",WIFI GRATUITO_ACTIVO
C. ZACATECAS,C. MERIDA,ROMA NORTE,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,156793","19,416299",WIFI GRATUITO_ACTIVO
AV. CHAPULTEPEC,C. NIZA,JUAREZ,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,161497","19,424229",WIFI GRATUITO_ACTIVO
AV. SONORA,AV. INSURGENTES SUR,HIPODROMO,CUAUHTEMOC,9m,SIN BOTON,CON ALTAVOZ,"-99,166454","19,412706",WIFI GRATUITO_ACTIVO
AV. INSURGENTES ,AV. DURANGO,ROMA NORTE,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,164027","19,420359",WIFI GRATUITO_ACTIVO
EJE 2 SUR AV. YUCATAN,C. CHIAPAS,ROMA NORTE,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,160686","19,412644",WIFI GRATUITO_ACTIVO
C. GUANAJUATO,C. TONALA,ROMA ,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,162242","19,416167",WIFI GRATUITO_ACTIVO
AV. OAXACA,C. VALLADOLID,ROMA NORTE,CUAUHTEMOC,9m,SIN BOTON,CON ALTAVOZ,"-99,167759","19,41844",WIFI GRATUITO_ACTIVO
C. COAHUILA,C. CORDOBA,ROMA NORTE,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,157066","19,412286",WIFI GRATUITO_ACTIVO
C. TONALA,C. COAHUILA,ROMA NORTE,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,161018","19,411677",WIFI GRATUITO_ACTIVO
C. SAN LUIS POTOSI,EJE 2 SUR YUCATAN,ROMA NORTE,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,162106","19,413601",WIFI GRATUITO_ACTIVO
C. PUEBLA ,AV. OAXACA,ROMA NORTE ,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,16422","19,422257",WIFI GRATUITO_ACTIVO
AV. ALVARO OBREGON,C. ORIZABA,ROMA NORTE ,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,159624","19,418086",WIFI GRATUITO_ACTIVO
C. TONALA,EJE 2 SUR QUERETARO,ROMA NORTE,CUAUHTEMOC,9m,SIN BOTON,CON ALTAVOZ,"-99,161707","19,414442",WIFI GRATUITO_ACTIVO
C. CORDOBA,C. GUANAJUATO,ROMA NORTE,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,158223","19,416975",WIFI GRATUITO_ACTIVO
C. PUEBLA,C. MORELIA,ROMA NORTE,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,156123","19,423829",WIFI GRATUITO_ACTIVO
C. REAL DE ROMITA,C. GUAYMAS,ROMA,CUAUHTEMOC,9m,SIN BOTON,CON ALTAVOZ,"-99,154857","19,423359",WIFI GRATUITO_ACTIVO
C. CORDOBA ,C. DURANGO,ROMA NORTE,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,159294","19,421258",WIFI GRATUITO_ACTIVO
AV. VERACRUZ ,AV. CHAPULTEPEC,ROMA NORTE,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,176658","19,420103",WIFI GRATUITO_ACTIVO
C. NIÑOS HEROES,C. DR. GARCIA DIEGO,DOCTORES,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,150669","19,416358",WIFI GRATUITO_ACTIVO
EJE 3 PONIENTE MEDELLIN,VIADUCTO PRESIDENTE MIGUEL ALEMAN,ROMA SUR,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,162276","19,40263",WIFI GRATUITO_ACTIVO
EJE 3 SUR AV. BAJA CALIFORNIA,EJE 3 PTE. MEDELLIN,ROMA SUR,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,163194","19,406009",WIFI GRATUITO_ACTIVO
C. TETRAZZINI,C. LUDWIN VAN BEETHOVEN,PERALVILLO,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,133149","19,460986",WIFI GRATUITO_ACTIVO
EJE 3 SUR AV. BAJA CALIFORNIA,EJE 2 PTE. MONTERREY,ROMA SUR,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,161136","19,406315",WIFI GRATUITO_ACTIVO
EJE 3 PTE. MEDELLIN,C. COAHUILA ,ROMA SUR,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,164484","19,410987",WIFI GRATUITO_ACTIVO
C. AGUAS CALIENTES,EJE 2 PTE. MONTERREY,ROMA SUR,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,161921","19,4092",WIFI GRATUITO_ACTIVO
C. TLAXCALA,EJE 3 PTE. MEDELLIN,ROMA SUR,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,163605","19,407988",WIFI GRATUITO_ACTIVO
C. MANZANILLO ,C. TLAXCALA,ROMA SUR,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,165214","19,40767",WIFI GRATUITO_ACTIVO
C. RICHARD WAGNER,C. LUDWIN VAN BEETHOVEN,PERALVILLO,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,130434","19,460248",WIFI GRATUITO_ACTIVO
C. TLACOTALPAN,EJE 3 SUR BAJA CALIFORNIA,ROMA SUR,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,166442","19,406006",WIFI GRATUITO_ACTIVO
C. TONALA ,C. BAJIO,ROMA SUR,CUAUHTEMOC,9m,SIN BOTON,CON ALTAVOZ,"-99,159182","19,404458",WIFI GRATUITO_ACTIVO
EJE 3 PONIENTE MEDELLIN,C. TEHUANTEPEC,ROMA SUR,CUAUHTEMOC,9m,SIN BOTON,CON ALTAVOZ,"-99,162859","19,404916",WIFI GRATUITO_ACTIVO
C. PUERTO MEXICO,C. QUINTANA ROO,ROMA SUR,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,16526","19,40532",WIFI GRATUITO_ACTIVO
C. TEHUANTEPEC,C. SALINA CRUZ,ROMA SUR,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,165392","19,404263",WIFI GRATUITO_ACTIVO
C. BAJIO ,C. MANZANILLO,ROMA SUR,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,164286","19,403441",WIFI GRATUITO_ACTIVO
EJE 4 SUR CHILPANCINGO,C. BAJIO ,ROMA SUR,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,168571","19,402606",WIFI GRATUITO_ACTIVO
C. BAJIO,C. TOLUCA,ROMA SUR,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,156325","19,40503",WIFI GRATUITO_ACTIVO
AV. INSURGENTES SUR,C. CAMPECHE,ROMA SUR,CUAUHTEMOC,9m,SIN BOTON,CON ALTAVOZ,"-99,167254","19,409313",WIFI GRATUITO_ACTIVO
EJE 3 SUR BAJA CALIFORNIA,C. URES,ROMA SUR,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,15826","19,406492",WIFI GRATUITO_ACTIVO
C. RIO MISSISIPI,C. RIO PANUCO,CUAUHTEMOC,CUAUHTEMOC,9m,SIN BOTON,CON ALTAVOZ,"-99,17317","19,427987",WIFI GRATUITO_ACTIVO
JOAQUÍN VELÁSQUEZ DE LEÓN,C. ALFONSO HERRERA,SAN RAFAEL,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,165391","19,440493",WIFI GRATUITO_ACTIVO
C. RIO LERMA,C. RIO AMAZONAS,CUAUHTEMOC,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,163447","19,43097",WIFI GRATUITO_ACTIVO
C. RIO TIBER,C. RIO NAZAS,CUAUHTEMOC,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,169658","19,430982",WIFI GRATUITO_ACTIVO
CIRCUITO INTERIOR CALZ. MELCHOR OCAMPO,C. RIÓ BALSAS,CUAUHTEMOC,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,172364","19,431277",WIFI GRATUITO_ACTIVO
EJE 2 PTE. RIO TIBER,C. RIO LERMA,CUAUHTEMOC ,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,168636","19,428669",WIFI GRATUITO_ACTIVO
AV. PASEO DE LA REFORMA,C. RIO RHIN,CUAUAHTEMOC,CUAUHTEMOC,9m,SIN BOTON,CON ALTAVOZ,"-99,163531","19,429264",WIFI GRATUITO_ACTIVO
C. JAMES SULLIVAN,C. MANUEL MARIA CONTRERAS,CUAUHTEMOC,CUAUHTEMOC,9m,CON BOTON,SIN ALTAVOZ,"-99,16588","19,434745",WIFI GRATUITO_ACTIVO
C. RIO PANUCO,C. RIO SENA,CUAUHTEMOC,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,166496","19,431066",WIFI GRATUITO_ACTIVO
C. RIO DANUBIO,C. RIO GRIJALVA,CUAUHTEMOC,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,16947","19,433657",WIFI GRATUITO_ACTIVO
C. RIO NILO ,C. RIO PANUCO,CUAUHTEMOC,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,171808","19,428522",WIFI GRATUITO_ACTIVO
C. MANUEL VILLALONGIN,C. SERAPIO RENDON,CUAUHTEMOC,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,161181","19,432314",WIFI GRATUITO_ACTIVO
AV. RIO MISSISSIPI,AV. PASEO DE LA REFORMA,CUAUHTEMOC,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,171748","19,425422",WIFI GRATUITO_ACTIVO
AV. PASEO DE LA REFORMA,C. RIO RODANO,CUAUHTEMOC,CUAUHTEMOC,9m,SIN BOTON,CON ALTAVOZ,"-99,175718","19,423439",WIFI GRATUITO_ACTIVO
C. RIO TIBER,C. RIO BALSAS,CUAUHTEMOC,CUAUHTEMOC,9m,SIN BOTON,CON ALTAVOZ,"-99,17044","19,432057",WIFI GRATUITO_ACTIVO
C. RIO LERMA,C. RIO MISISIPI,CUAUHTEMOC,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,172597","19,426777",WIFI GRATUITO_ACTIVO
EJE 4 SUR XOLA,AV. COYOACAN,DEL VALLE,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,167147","19,397582",WIFI GRATUITO_ACTIVO
C. ADOLFO PRIETO,C. OBRERO MUNDIAL,DEL VALLE NORTE,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,165379","19,400693",WIFI GRATUITO_ACTIVO
CALZ. OBRERO MUNDIAL,EJE 3 PTE AMORES,DEL VALLE NORTE,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,162255","19,401111",WIFI GRATUITO_ACTIVO
C. PEDRO ROMERO DE TERREROS,AV. DIVISION DEL NORTE,DEL VALLE NORTE,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,168478","19,395412",WIFI GRATUITO_ACTIVO
C. SAN FRANCISCO,EJE 4 SUR XOLA,DEL VALLE NORTE,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,169367","19,398077",WIFI GRATUITO_ACTIVO
AVENIDA MAGDALENA,C. LUZ SAVIÑON,DEL VALLE NORTE,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,171134","19,39372",WIFI GRATUITO_ACTIVO
C. MIER Y PESADO,C. LUZ SAVIÑON,DEL VALLE NORTE,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,165828","19,392577",WIFI GRATUITO_ACTIVO
C. CONCEPCION BEISTEGUI,AV. COLONIA DEL VALLE,DEL VALLE NORTE,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,166768","19,389711",WIFI GRATUITO_ACTIVO
AV. INSURGENTES SUR,C. KANSAS,AMPLIACION NAPOLES,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,174205","19,388909",WIFI GRATUITO_ACTIVO
EJE 3 PTE. COYOACAN ,EJE 5 SUR AV. EUGENIA,DEL VALLE ,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,167013","19,387289",WIFI GRATUITO_ACTIVO
C. SAN BORJA,AV. AMORES,DEL VALLE,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,166067","19,384642",WIFI GRATUITO_ACTIVO
EJE 5 SUR AV. EUGENIA (1 DE MAYO),C. HERIBERTO FRIAS ,NARVARTE PONIENTE,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,161107","19,38602",WIFI GRATUITO_ACTIVO
C. SAN BORJA,C. NICOLAS SAN JUAN,DEL VALLE CENTRO,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,163095","19,383967",WIFI GRATUITO_ACTIVO
C. PROVIDENCIA,C. SAN BORJA,DEL VALLE,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,170354","19,385514",WIFI GRATUITO_ACTIVO
C. SAN BORJA,EJE 2 PTE. GABRIEL MANCERA,DEL VALLE CENTRO,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,164619","19,384146",WIFI GRATUITO_ACTIVO
AV. DIVISION DEL NORTE,C. SAN BORJA,DEL BALLE CENTRO,BENITO JUAREZ,9m,SIN BOTON,CON ALTAVOZ,"-99,160486","19,3834",WIFI GRATUITO_ACTIVO
C. MATIAS ROMERO,EJE 3 PTE. COYOACAN,DEL VALLE ,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,168635","19,380871",WIFI GRATUITO_ACTIVO
C. PILARES,C. HERIBERTO FRIAS,DEL VALLE CENTRO ,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,163251","19,377234",WIFI GRATUITO_ACTIVO
C. I. TORRES ADALID,C. GONZALEZ DE COSSIO,DEL VALLE NORTE,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,169341","19,391977",WIFI GRATUITO_ACTIVO
C. ESPERANZA,C. PETEN,NARVARTE ORIENTE,BENITO JUAREZ,9m,SIN BOTON,SIN ALTAVOZ,"-99,152171","19,399966",WIFI GRATUITO_ACTIVO
C. ADOLFO PRIETO,C. PEDRO ROMERO DE TERREROS,DEL VALLE NORTE,BENITO JUAREZ,9m,SIN BOTON,CON ALTAVOZ,"-99,166707","19,395009",WIFI GRATUITO_ACTIVO
C. PEDRO ROMERO DE TERREROS,EJE 3 PTE. AMORES,DEL VALLE NORTE,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,163906","19,394223",WIFI GRATUITO_ACTIVO
EJE 2 PTE. GABRIEL MANCERA,C. LUZ SAVIÑON,DEL VALLE NORTE,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,162922","19,391992",WIFI GRATUITO_ACTIVO
AV. DIVISION DEL NORTE,EJE 2 PTE. GAB5RIEL MANCERA,DEL VALLE NORTE,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,163406","19,389362",WIFI GRATUITO_ACTIVO
EJE 5 SUR EUGENIA,C. PROVIDENCIA,DEL VALLE,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,169556","19,387856",WIFI GRATUITO_ACTIVO
C. TEXAS,C. NUEVA YORK,NAPOLES,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,177704","19,392602",WIFI GRATUITO_ACTIVO
C. HERIBERTO FRIAS,EJE 6 SUR ANGEL URRAZA,DEL VALLE,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,162322","19,381753",WIFI GRATUITO_ACTIVO
AV. DIVISION DEL NORTE,EJE 6 SUR URRAZA,NARVARTE PONIENTE,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,159826","19,381195",WIFI GRATUITO_ACTIVO
C. MATIAS ROMERO,C. HERIBERTO FRIAS,DEL VALLE,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,162844","19,379593",WIFI GRATUITO_ACTIVO
EJE 3 PTE. AMORES,EJE 6 SUR ANGEL URRAZA,DEL VALLE,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,166523","19,38287",WIFI GRATUITO_ACTIVO
C. AMORES,EJE 7 SUR FELIX CUEVAS,DEL VALLE SUR,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,169511","19,371526",WIFI GRATUITO_ACTIVO
C. PILARES,C. GONZALEZ DE COSSIO,DEL VALLE,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,172509","19,379304",WIFI GRATUITO_ACTIVO
C. PORFIRIO DIAZ,C. PATRICIO SANZ,DEL VALLE CENTRO,BENITO JUAREZ,9m,SIN BOTON,CON ALTAVOZ,"-99,172426","19,381554",WIFI GRATUITO_ACTIVO
C. AMORES,C. PILARES,DEL VALLE SUR,BENITO JUAREZ,9m,SIN BOTON,CON ALTAVOZ,"-99,167651","19,378052",WIFI GRATUITO_ACTIVO
C. CAPULIN,C. PORFIRIO DIAZ,DEL VALLE CENTRO,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,174815","19,380485",WIFI GRATUITO_ACTIVO
C. RODRIGUEZ SARO,C. PATRICIO SANZ,ACACIAS,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,176504","19,365834",WIFI GRATUITO_ACTIVO
C. RODRIGUEZ SARO,EJE 3 PONIENTE AV. COYOACAN,DEL VALLE SUR,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,172532","19,365079",WIFI GRATUITO_ACTIVO
C. PARROQUIA,AV. MEXICO COYOACAN,SANTA CRUZ ATOYAC,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,163384","19,367871",WIFI GRATUITO_ACTIVO
C. MIGUEL LAURENT,EJE 3 PTE. AV. COYOACAN,DEL VALLE SUR,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,169754","19,376116",WIFI GRATUITO_ACTIVO
C. PARROQUIA,C. AMORES,DEL VALLE SUR,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,170051","19,369374",WIFI GRATUITO_ACTIVO
C. MIGUEL LAURENT,AVENIDA UNIVERSIDAD,DEL VALLE SUR,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,162515","19,37455",WIFI GRATUITO_ACTIVO
EJE 5 SUR EUGENIA,C. SAN BORJA,DEL VALLE CENTRO,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,172288","19,38619",WIFI GRATUITO_ACTIVO
C. PILARES,EJE 3 PTE. AV. COYOACAN,DEL VALLE SUR,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,169204","19,378439",WIFI GRATUITO_ACTIVO
EJE 2 PONIENTE GABRIEL MANCERA,C. SAN LORENZO,DEL VALLE SUR,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,167341","19,373299",WIFI GRATUITO_ACTIVO
AV. UNIVERSIDAD,C. SAN LORENZO,DEL VALLE SUR,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,163817","19,372462",WIFI GRATUITO_ACTIVO
EJE 2 PONIENTE GABRIEL MANCERA,EJE 7 SUR FELIX CUEVAS,DEL VALLE SUR,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,167873","19,371373",WIFI GRATUITO_ACTIVO
EJE 2 PONIENTE GABRIEL MANCERA,C. PARROQUIA,DEL VALLE SUR,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,168451","19,368842",WIFI GRATUITO_ACTIVO
C. PARROQUIA,EJE 3 PTE. AV. COYOACAN,DEL VALLE SUR,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,171423","19,369535",WIFI GRATUITO_ACTIVO
C. PARROQUIA,C. ADOLFO PRIETO,CENTRO URB. PRESIDENTE ALEMAN,BENITO JUAREZ,9m,CON BOTON,SIN ALTAVOZ,"-99,173071","19,370085",WIFI GRATUITO_ACTIVO
C. PARROQUIA,C. SAN FRANCISCO,ACTIPAN,BENITO JUAREZ,9m,SIN BOTON,CON ALTAVOZ,"-99,176223","19,370742",WIFI GRATUITO_ACTIVO
C. RECREO,C. TIGRE,ACTIPAN,BENITO JUAREZ,9m,CON BOTON,SIN ALTAVOZ,"-99,17847","19,370008",WIFI GRATUITO_ACTIVO
C. BUFALO,EJE 8 SUR JOSE MARIA RICO,ACTIPAN,BENITO JUAREZ,9m,CON BOTON,SIN ALTAVOZ,"-99,17745","19,36868",WIFI GRATUITO_ACTIVO
EJE 8 SUR JOSE MARIA RICO,C. MORAS,ACACIAS,BENITO JUAREZ,9m,CON BOTON,SIN ALTAVOZ,"-99,175259","19,367941",WIFI GRATUITO_ACTIVO
EJE 3 PTE. AV. COYOACAN,EJE 8 SUR JOSE MARIA RICO,DEL VALLE SUR,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,172116","19,367366",WIFI GRATUITO_ACTIVO
AV. UNIVERSIDAD,EJE 8 SUR POPOCATEPETL,XOCO,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,167515","19,366186",WIFI GRATUITO_ACTIVO
EJE 5 SUR EUGENIA,C. LA QUEMADA,NARVARTE ORIENTE,BENITO JUAREZ,9m,CON BOTON,SIN ALTAVOZ,"-99,149973","19,384358",WIFI GRATUITO_ACTIVO
C. RODRIGUEZ SARO,EJE 2 PONIENTE GABRIEL MANCERA,DEL VALLE SUR,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,16957","19,364395",WIFI GRATUITO_ACTIVO
C. 2,CIRCUITO INTERIOR AV. RIO MIXCOAC,ACACIAS,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,174748","19,362528",WIFI GRATUITO_ACTIVO
C. AMORES,C. MARTIN MENDALDE,ACACIAS,BENITO JUAREZ,9m,CON BOTON,SIN ALTAVOZ,"-99,171978","19,362757",WIFI GRATUITO_ACTIVO
