DIRECCIÓN,ESQUINA,COLONIA,ALCALDIA,TIPO DE POSTE,BOTON,ALTAVOZ,LONGITUD ,LATITUD ,ESTATUS CONECTIVIDAD
AVENIDA 5 DE MAYO,C. FRAY SERVANDO TERESA DE MIER,VALLE DE MADERO,GUSTAVO A. MADERO,9m,SIN BOTON,CON ALTAVOZ,"-99,140956","19,548824",WIFI GRATUITO_ACTIVO
AV. MONTEVIDEO,AV. ETEN,LINDAVISTA,GUSTAVO A. MADERO,9m,CON BOTON,CON ALTAVOZ,"-99,13841","19,491938",WIFI GRATUITO_ACTIVO
C. ESTADO DE MEXICO,C. MORELOS,CHALMA DE GUADALUPE,GUSTAVO A. MADERO,9m,CON BOTON,CON ALTAVOZ,"-99,149421","19,551242",WIFI GRATUITO_ACTIVO
C. MORELOS,ENTRE C. YUCATAN Y C. SONORA,CHALMA DE GUADALUPE,GUSTAVO A. MADERO,9m,CON BOTON,CON ALTAVOZ,"-99,147554","19,554919",WIFI GRATUITO_ACTIVO
DEPORTIVO LOS GALEANA,C. ISABEL RODRIGUEZ ALDERETE,U.H SN JUAN DE ARAGON 7A SEC.,GUSTAVO A. MADERO,9m,CON BOTON,CON ALTAVOZ,"-99,075953","19,476693",WIFI GRATUITO_ACTIVO
AV. JALISCO PTE.,C. TLAXCALA,BARRIO SANTA MARTHA,MILPA ALTA,9m,CON BOTON,CON ALTAVOZ,"-99,027833","19,192596",WIFI GRATUITO_ACTIVO
ANDADOR BARRANCA SECA,C. GUERRERO SUR,PUEBLO SAN ANTONIO TECOMITL,MILPA ALTA,9m,SIN BOTON,SIN ALTAVOZ,"-98,991441","19,214949",WIFI GRATUITO_ACTIVO
C. JUAN PABLO MARTINEZ,CALZ. TLAHUAC - CHALCO,BARRIO LA MAGDALENA,TLAHUAC,9m,CON BOTON,SIN ALTAVOZ,"-99,000665","19,266188",WIFI GRATUITO_ACTIVO
C. CANTON ,C. PERSIA,ROMERO RUBIO,VENUSTIANO CARRANZA,9m,CON BOTON,CON ALTAVOZ,"-99,098437","19,444163",WIFI GRATUITO_ACTIVO
C. ARTICULO 123,ENTRE AV. BALDERAS Y 2DA. CALLE DE REVILLAGIGEDO,CENTRO,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,14669","19,432782",WIFI GRATUITO_ACTIVO
C. LUIS MOYA,ARTICULO 123,CENTRO,CUAUHTEMOC,9m,CON BOTON,CON ALTAVOZ,"-99,14514","19,432563",WIFI GRATUITO_ACTIVO
C. PESTALOZZI,C. PILARES,DEL VALLE SUR,BENITO JUAREZ,9m,SIN BOTON,CON ALTAVOZ,"-99,161928","19,376841",WIFI GRATUITO_ACTIVO
C. CUMBRES DE MALTRATA,PRIV. LAGO,AMERICAS UNIDAS,BENITO JUAREZ,9m,CON BOTON,SIN ALTAVOZ,"-99,143585","19,381531",WIFI GRATUITO_ACTIVO
C. DARWIN,C. SHAKESPEARE,ANZURES,MIGUEL HIDALGO,9m,SIN BOTON,CON ALTAVOZ,"-99,177553","19,429582",WIFI GRATUITO_ACTIVO
C. BALBOA,EJE 7 SUR MUNICIPIO LIBRE,PORTALES NORTE ,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,144427","19,368345",WIFI GRATUITO_ACTIVO
EJE 3 ORIENTE EDUARDO MOLINA,ENTRE CALLE 318 Y 316,NUEVA ATZACOALCO,GUSTAVO A. MADERO,9m,CON BOTON,CON ALTAVOZ,"-99,086546","19,504721",WIFI GRATUITO_ACTIVO
NORTE 66-A,ORIENTE 155,SALVADOR DÍAZ MIRÓN,GUSTAVO A. MADERO,9m,CON BOTON,CON ALTAVOZ,"-99,099692","19,487593",WIFI GRATUITO_ACTIVO
AV. CENTENARIO,C. ORIENTE 153,SALVADOR DÍAZ MIRÓN,GUSTAVO A. MADERO,9m,CON BOTON,CON ALTAVOZ,"-99,102227","19,487352",WIFI GRATUITO_ACTIVO
CALZ. DE GUADALUPE,AV. HENRY FORD,GUADALUPE TEPEYAC,GUSTAVO A. MADERO,9m,CON BOTON,CON ALTAVOZ,"-99,122196","19,471477",WIFI GRATUITO_ACTIVO
