alcaldia,alcaldia_clean
ALVARO OBREGON,Álvaro Obregón
AZCAPOTZALCO,Azcapotzalco
BENITO JUAREZ,Benito Juárez
COYOACAN,Coyoacán
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos
CUAUHTEMOC,Cuauhtémoc
GUSTAVO A. MADERO,Gustavo A. Madero
IZTACALCO,Iztacalco
IZTAPALAPA,Iztapalapa
LA MAGDALENA CONTRERAS,La Magdalena Contreras
MIGUEL HIDALGO,Miguel Hidalgo
MILPA ALTA,Milpa Alta
TLAHUAC,Tláhuac
TLALPAN,Tlalpan
VENUSTIANO CARRANZA,Venustiano Carranza
XOCHIMILCO,Xochimilco
